date,ts_ms,coin,ret12,ret24,ret7d,day2_ret24,pump_max5m,mins_since_high12,retrace_from_high,vwap_dist,volr_15m,volr_1h,volr_2h,vol24_usd,oi_usd,funding_1h,funding_8h_sum,premium,spread_bps,depth_bid_05,depth_ask_05,btc_ret24,eth_ret24,breadth_up5,rank24,r30m,r1h,r2h,r3h,r6h,r24h,mae3h,fund_paid_3h,e18_r1h,e18_r2h,e18_r3h,e18_mae3h
2026-07-04,1783204474243,kLUNC,-0.000531,-0.002726,0.049085,0.038508,0.005050,280,0.015745,-0.003324,3.563926,1.155687,1.390122,130011,476790,0.000042,,0.000532,,,,0.010291,0.015176,9,93,-0.002468,-0.008748,-0.015935,-0.015357,-0.020293,-0.028292,0.000437,0.000061,-0.002899,-0.009242,-0.013575,-0.000062
2026-07-04,1783204474243,RSR,0.016779,-0.007371,0.027990,0.041809,0.009144,260,0.015435,-0.001676,0.747566,0.339683,1.259129,35132,117691,0.000013,,0.000000,,,,0.010291,0.015176,9,115,0.000000,-0.001650,-0.008251,-0.002475,-0.017327,0.015677,0.000000,0.000038,-0.006557,-0.009016,-0.014754,-0.002459
2026-07-04,1783204474243,GALA,0.007531,-0.037954,0.067849,0.080743,0.009724,385,0.035643,-0.012386,0.403930,0.426325,0.421032,107918,258612,0.000013,,0.000000,,,,0.010291,0.015176,9,163,-0.004153,-0.002076,-0.019934,-0.028239,-0.032807,-0.025748,0.000831,0.000038,-0.011944,-0.014003,-0.034185,-0.000412
2026-07-04,1783204474243,JTO,0.011939,-0.039851,-0.102579,0.031116,0.020780,300,0.020593,0.004876,0.597903,0.528067,0.474845,2714338,13112861,0.000013,,0.000000,,,,0.010291,0.015176,9,165,0.001750,-0.002201,-0.000328,0.011949,0.016433,-0.003691,0.015489,0.000038,-0.006779,-0.013261,0.003315,0.004005
2026-07-04,1783204474243,ACE,-0.007509,-0.002516,0.084815,0.047431,0.017073,595,0.049161,-0.012973,0.070308,0.090466,0.117608,183550,179317,0.000013,,0.000000,,,,0.010291,0.015176,9,90,-0.001261,-0.006305,-0.011349,-0.021438,-0.021438,-0.006305,-0.001261,0.000038,-0.003774,-0.011321,-0.011321,-0.002516
2026-07-04,1783204474243,WIF,0.000000,-0.032578,0.062541,0.059643,0.011242,275,0.033425,-0.014306,0.611568,0.316803,0.208159,1924811,4547890,0.000013,,0.000000,,,,0.010291,0.015176,9,159,-0.000566,-0.002547,-0.013413,-0.016130,-0.018450,0.007188,0.002320,0.000038,-0.003999,-0.011603,-0.014363,0.001633
2026-07-04,1783204474243,CAKE,0.013741,0.003221,0.061974,0.028336,0.008559,265,0.004969,0.006293,7.263918,4.501122,2.344043,192206,727538,0.000013,,0.000000,,,,0.010291,0.015176,9,69,-0.004352,-0.007348,-0.013484,-0.019976,-0.016694,0.050653,0.004566,0.000038,0.006481,0.000648,-0.002736,0.013970
2026-07-04,1783204474243,PEOPLE,0.003333,-0.000553,0.073296,0.046121,0.010809,395,0.041740,-0.018082,0.184228,0.216604,0.253600,159630,94763,0.000013,,-0.000184,,,,0.010291,0.015176,9,84,-0.001846,-0.005168,-0.004614,-0.005353,0.001292,0.005353,0.001107,0.000038,-0.003493,-0.006803,-0.006619,0.000735
2026-07-04,1783204474243,ENS,0.003259,-0.008564,0.038715,0.050881,0.007466,280,0.017851,-0.004211,0.403955,0.336077,0.406066,492533,1982670,0.000013,,0.000000,,,,0.010291,0.015176,9,119,-0.000645,-0.003064,-0.010320,-0.010412,-0.012992,0.009882,0.001705,0.000038,0.003185,-0.003739,-0.003993,0.003600
2026-07-04,1783204474243,ETC,-0.006395,0.007688,0.025239,0.022972,0.007837,385,0.022757,-0.004509,0.081144,0.084837,0.101804,403756,1094991,0.000013,,-0.000274,,,,0.010291,0.015176,9,53,-0.001235,-0.004075,-0.008247,-0.008851,-0.017523,-0.008398,0.000398,0.000038,-0.004264,-0.007585,-0.009800,0.001162
